Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,TLA,VAL
2006-01-01,00,,55.000000,68.000000,72.000000,70.000000,60.000000,54.000000,133.000000
2006-01-01,01,,54.000000,,70.000000,60.000000,47.000000,39.000000,25.000000
2006-01-01,02,,60.000000,,76.000000,62.000000,46.000000,43.000000,34.000000
2006-01-01,03,,60.000000,,76.000000,66.000000,50.000000,64.000000,23.000000
2006-01-01,04,,54.000000,,74.000000,70.000000,45.000000,55.000000,45.000000
2006-01-01,05,,48.000000,,72.000000,69.000000,40.000000,42.000000,59.000000
2006-01-01,06,,43.000000,,69.000000,71.000000,44.000000,42.000000,47.000000
2006-01-01,07,,41.000000,82.000000,37.000000,65.000000,32.000000,50.000000,87.000000
2006-01-01,08,,46.000000,60.000000,41.000000,77.000000,24.000000,57.000000,93.000000
2006-01-01,09,,78.000000,40.000000,31.000000,130.000000,19.000000,49.000000,58.000000
2006-01-01,10,,76.000000,38.000000,29.000000,79.000000,18.000000,31.000000,45.000000
2006-01-01,11,,52.000000,36.000000,32.000000,33.000000,15.000000,27.000000,12.000000
2006-01-01,12,,41.000000,32.000000,28.000000,34.000000,17.000000,28.000000,7.000000
2006-01-01,13,,41.000000,,25.000000,32.000000,17.000000,24.000000,7.000000
2006-01-01,14,,33.000000,,30.000000,31.000000,17.000000,26.000000,6.000000
2006-01-01,15,,31.000000,,27.000000,29.000000,16.000000,25.000000,6.000000
2006-01-01,16,,28.000000,,27.000000,30.000000,15.000000,27.000000,7.000000
2006-01-01,17,,26.000000,,38.000000,36.000000,16.000000,27.000000,6.000000
2006-01-01,18,,41.000000,,73.000000,53.000000,26.000000,48.000000,10.000000
2006-01-01,19,,34.000000,,72.000000,60.000000,42.000000,48.000000,18.000000
2006-01-01,20,,45.000000,,67.000000,58.000000,44.000000,56.000000,13.000000
2006-01-01,21,,61.000000,,66.000000,51.000000,45.000000,53.000000,31.000000
2006-01-01,22,,54.000000,,58.000000,38.000000,44.000000,48.000000,55.000000
2006-01-01,23,,48.000000,,61.000000,46.000000,45.000000,60.000000,59.000000
2006-01-02,00,,33.000000,,54.000000,44.000000,46.000000,48.000000,57.000000
2006-01-02,01,,107.000000,,,,,,58.000000
2006-01-02,02,,51.000000,,,,,,36.000000
2006-01-02,03,,51.000000,,,,,,25.000000
2006-01-02,04,,48.000000,,,,,,17.000000
2006-01-02,05,,44.000000,,,,,,36.000000
2006-01-02,06,,41.000000,,,,,,47.000000
2006-01-02,07,,28.000000,,49.000000,44.000000,34.000000,18.000000,84.000000
2006-01-02,08,,32.000000,,56.000000,56.000000,36.000000,52.000000,131.000000
2006-01-02,09,,37.000000,,72.000000,77.000000,30.000000,68.000000,153.000000
2006-01-02,10,,104.000000,,98.000000,104.000000,41.000000,70.000000,104.000000
2006-01-02,11,,58.000000,55.000000,41.000000,72.000000,21.000000,34.000000,43.000000
2006-01-02,12,,41.000000,,38.000000,54.000000,20.000000,41.000000,9.000000
2006-01-02,13,,35.000000,,37.000000,19.000000,19.000000,33.000000,6.000000
2006-01-02,14,,33.000000,,44.000000,41.000000,17.000000,30.000000,7.000000
2006-01-02,15,,36.000000,,31.000000,74.000000,20.000000,33.000000,9.000000
2006-01-02,16,,49.000000,,28.000000,224.000000,25.000000,32.000000,7.000000
2006-01-02,17,,52.000000,,33.000000,88.000000,33.000000,38.000000,10.000000
2006-01-02,18,,64.000000,,56.000000,311.000000,65.000000,58.000000,29.000000
2006-01-02,19,,67.000000,,70.000000,333.000000,72.000000,66.000000,74.000000
2006-01-02,20,,66.000000,,64.000000,310.000000,67.000000,66.000000,184.000000
2006-01-02,21,,70.000000,,64.000000,186.000000,73.000000,70.000000,222.000000
2006-01-02,22,,73.000000,,88.000000,275.000000,62.000000,68.000000,97.000000
2006-01-02,23,,71.000000,,93.000000,246.000000,61.000000,66.000000,171.000000
2006-01-03,00,,71.000000,,91.000000,145.000000,54.000000,63.000000,144.000000
2006-01-03,01,,71.000000,,86.000000,62.000000,47.000000,73.000000,81.000000
2006-01-03,02,,64.000000,,41.000000,58.000000,32.000000,62.000000,90.000000
2006-01-03,03,,56.000000,,54.000000,57.000000,37.000000,71.000000,107.000000
2006-01-03,04,,57.000000,,46.000000,55.000000,45.000000,69.000000,95.000000
2006-01-03,05,,58.000000,,50.000000,60.000000,43.000000,63.000000,89.000000
2006-01-03,06,,48.000000,,58.000000,61.000000,43.000000,60.000000,91.000000
2006-01-03,07,,25.000000,,59.000000,55.000000,41.000000,30.000000,111.000000
2006-01-03,08,,21.000000,,61.000000,58.000000,41.000000,83.000000,164.000000
2006-01-03,09,,98.000000,,70.000000,72.000000,42.000000,76.000000,229.000000
2006-01-03,10,,74.000000,,,96.000000,26.000000,56.000000,124.000000
2006-01-03,11,,46.000000,,50.000000,43.000000,19.000000,31.000000,41.000000
2006-01-03,12,,38.000000,,43.000000,36.000000,17.000000,30.000000,12.000000
2006-01-03,13,,35.000000,,41.000000,39.000000,19.000000,34.000000,11.000000
2006-01-03,14,,34.000000,,43.000000,40.000000,21.000000,33.000000,9.000000
2006-01-03,15,,43.000000,,49.000000,46.000000,21.000000,45.000000,10.000000
2006-01-03,16,,58.000000,,61.000000,56.000000,28.000000,60.000000,11.000000
2006-01-03,17,,76.000000,,90.000000,68.000000,53.000000,79.000000,15.000000
2006-01-03,18,,90.000000,,132.000000,94.000000,98.000000,97.000000,35.000000
2006-01-03,19,,90.000000,,134.000000,107.000000,98.000000,102.000000,51.000000
2006-01-03,20,,77.000000,,132.000000,106.000000,81.000000,95.000000,93.000000
2006-01-03,21,,82.000000,,121.000000,104.000000,74.000000,93.000000,57.000000
2006-01-03,22,,93.000000,,105.000000,94.000000,78.000000,68.000000,26.000000
