Concentraciones horarias para NO2 red GDL 2007

Fecha,Hora,AGU,CEN,LDO,MIR,OBL
2007-01-04,9,45.000000,52.000000,20.000000,33.000000,18.000000
2007-01-04,10,46.000000,48.000000,20.000000,34.000000,17.000000
2007-01-04,11,32.000000,48.000000,22.000000,32.000000,18.000000
2007-01-04,12,31.000000,53.000000,26.000000,44.000000,17.000000
2007-01-04,13,21.000000,67.000000,27.000000,40.000000,22.000000
2007-01-04,14,16.000000,51.000000,18.000000,23.000000,19.000000
2007-01-04,15,14.000000,42.000000,11.000000,20.000000,13.000000
2007-01-04,16,14.000000,42.000000,11.000000,20.000000,13.000000
2007-01-04,17,13.000000,40.000000,11.000000,20.000000,11.000000
2007-01-04,18,13.000000,40.000000,12.000000,20.000000,12.000000
2007-01-04,19,26.000000,46.000000,12.000000,20.000000,14.000000
2007-01-04,20,62.000000,59.000000,26.000000,34.000000,21.000000
2007-01-04,21,38.000000,67.000000,32.000000,33.000000,26.000000
2007-01-04,22,17.000000,62.000000,30.000000,39.000000,24.000000
2007-01-04,23,13.000000,62.000000,28.000000,41.000000,21.000000
2007-01-04,24,12.000000,63.000000,26.000000,41.000000,13.000000
2007-01-05,1,31.000000,57.000000,27.000000,38.000000,20.000000
2007-01-05,2,36.000000,54.000000,27.000000,37.000000,19.000000
2007-01-05,3,34.000000,54.000000,26.000000,35.000000,21.000000
2007-01-05,4,27.000000,51.000000,24.000000,33.000000,20.000000
2007-01-05,5,66.000000,50.000000,24.000000,33.000000,18.000000
2007-01-05,6,44.000000,49.000000,18.000000,36.000000,17.000000
2007-01-05,7,71.000000,51.000000,23.000000,34.000000,15.000000
2007-01-05,8,137.000000,56.000000,20.000000,35.000000,15.000000
2007-01-05,9,129.000000,68.000000,21.000000,40.000000,19.000000
2007-01-05,10,64.000000,95.000000,31.000000,49.000000,22.000000
2007-01-05,11,34.000000,83.000000,34.000000,49.000000,21.000000
2007-01-05,12,20.000000,56.000000,13.000000,32.000000,16.000000
2007-01-05,13,17.000000,48.000000,12.000000,25.000000,15.000000
2007-01-05,14,15.000000,50.000000,10.000000,26.000000,17.000000
2007-01-05,15,15.000000,49.000000,13.000000,26.000000,21.000000
2007-01-05,16,14.000000,47.000000,12.000000,20.000000,19.000000
2007-01-05,17,14.000000,48.000000,13.000000,20.000000,18.000000
2007-01-05,18,13.000000,55.000000,19.000000,24.000000,19.000000
2007-01-05,19,21.000000,70.000000,36.000000,37.000000,27.000000
2007-01-05,20,26.000000,67.000000,34.000000,37.000000,25.000000
2007-01-05,21,17.000000,62.000000,32.000000,28.000000,24.000000
2007-01-05,22,17.000000,63.000000,30.000000,32.000000,23.000000
2007-01-05,23,14.000000,61.000000,30.000000,27.000000,23.000000
2007-01-05,24,25.000000,62.000000,28.000000,32.000000,13.000000
2007-01-06,1,67.000000,57.000000,28.000000,35.000000,17.000000
2007-01-06,2,92.000000,56.000000,28.000000,38.000000,21.000000
2007-01-06,3,86.000000,56.000000,29.000000,32.000000,20.000000
2007-01-06,4,88.000000,57.000000,28.000000,36.000000,18.000000
2007-01-06,5,48.000000,55.000000,27.000000,37.000000,18.000000
2007-01-06,6,55.000000,53.000000,26.000000,37.000000,17.000000
2007-01-06,7,55.000000,52.000000,25.000000,34.000000,17.000000
2007-01-06,8,104.000000,53.000000,26.000000,31.000000,14.000000
2007-01-06,9,115.000000,71.000000,25.000000,41.000000,17.000000
2007-01-06,10,70.000000,77.000000,34.000000,50.000000,22.000000
2007-01-06,11,41.000000,64.000000,17.000000,75.000000,20.000000
2007-01-06,12,28.000000,52.000000,13.000000,31.000000,16.000000
2007-01-06,13,17.000000,53.000000,11.000000,31.000000,16.000000
2007-01-06,14,14.000000,56.000000,15.000000,27.000000,22.000000
2007-01-06,15,15.000000,49.000000,15.000000,20.000000,24.000000
2007-01-06,16,17.000000,49.000000,14.000000,21.000000,22.000000
2007-01-06,17,12.000000,47.000000,17.000000,21.000000,19.000000
2007-01-06,18,12.000000,53.000000,21.000000,25.000000,17.000000
2007-01-06,19,16.000000,68.000000,34.000000,37.000000,27.000000
2007-01-06,20,31.000000,76.000000,32.000000,42.000000,28.000000
2007-01-06,21,76.000000,69.000000,33.000000,37.000000,20.000000
2007-01-06,22,80.000000,71.000000,32.000000,40.000000,15.000000
2007-01-06,23,86.000000,63.000000,29.000000,39.000000,10.000000
2007-01-06,24,82.000000,58.000000,29.000000,35.000000,13.000000
2007-01-07,1,68.000000,55.000000,26.000000,38.000000,12.000000
2007-01-07,2,94.000000,55.000000,27.000000,37.000000,18.000000
2007-01-07,3,139.000000,53.000000,26.000000,37.000000,21.000000
2007-01-07,4,124.000000,50.000000,25.000000,36.000000,23.000000
2007-01-07,5,127.000000,56.000000,26.000000,33.000000,23.000000
2007-01-07,6,79.000000,54.000000,24.000000,35.000000,23.000000
2007-01-07,7,54.000000,55.000000,27.000000,34.000000,22.000000
2007-01-07,8,56.000000,58.000000,28.000000,39.000000,21.000000
2007-01-07,9,68.000000,79.000000,29.000000,45.000000,22.000000
2007-01-07,10,61.000000,110.000000,39.000000,54.000000,24.000000
2007-01-07,11,35.000000,57.000000,21.000000,44.000000,19.000000
2007-01-07,12,20.000000,43.000000,18.000000,32.000000,14.000000
2007-01-07,13,14.000000,44.000000,12.000000,31.000000,15.000000
2007-01-07,14,13.000000,51.000000,17.000000,32.000000,17.000000
2007-01-07,15,12.000000,50.000000,23.000000,36.000000,18.000000
2007-01-07,16,12.000000,53.000000,24.000000,38.000000,18.000000
2007-01-07,17,11.000000,58.000000,31.000000,40.000000,20.000000
2007-01-07,18,12.000000,65.000000,57.000000,67.000000,22.000000
2007-01-07,19,12.000000,133.000000,71.000000,108.000000,36.000000
2007-01-07,20,16.000000,124.000000,76.000000,94.000000,67.000000
2007-01-07,21,18.000000,99.000000,62.000000,66.000000,47.000000
2007-01-07,22,36.000000,94.000000,52.000000,65.000000,35.000000
2007-01-07,23,72.000000,93.000000,51.000000,70.000000,42.000000
2007-01-07,24,66.000000,87.000000,35.000000,66.000000,21.000000
2007-01-08,1,21.000000,47.000000,17.000000,39.000000,12.000000
2007-01-08,2,12.000000,42.000000,19.000000,27.000000,9.000000
2007-01-08,3,12.000000,40.000000,16.000000,32.000000,8.000000
2007-01-08,4,13.000000,46.000000,16.000000,37.000000,11.000000
2007-01-08,5,14.000000,42.000000,17.000000,34.000000,14.000000
2007-01-08,6,22.000000,47.000000,23.000000,35.000000,15.000000
2007-01-08,7,62.000000,60.000000,24.000000,34.000000,18.000000
2007-01-08,8,123.000000,63.000000,23.000000,39.000000,20.000000
2007-01-08,9,109.000000,63.000000,24.000000,45.000000,21.000000
2007-01-08,10,71.000000,57.000000,22.000000,46.000000,17.000000
2007-01-08,11,26.000000,42.000000,17.000000,31.000000,13.000000
2007-01-08,12,20.000000,40.000000,16.000000,29.000000,12.000000
2007-01-08,13,20.000000,43.000000,16.000000,30.000000,13.000000
2007-01-08,14,17.000000,41.000000,17.000000,29.000000,12.000000
2007-01-08,15,17.000000,43.000000,19.000000,32.000000,15.000000
2007-01-08,16,18.000000,44.000000,20.000000,30.000000,15.000000
2007-01-08,17,17.000000,42.000000,18.000000,30.000000,14.000000
2007-01-08,18,20.000000,49.000000,27.000000,38.000000,20.000000
2007-01-08,19,35.000000,70.000000,32.000000,55.000000,31.000000
2007-01-08,20,94.000000,87.000000,33.000000,60.000000,35.000000
2007-01-08,21,123.000000,86.000000,28.000000,59.000000,27.000000
2007-01-08,22,182.000000,83.000000,32.000000,58.000000,28.000000
2007-01-08,23,151.000000,81.000000,32.000000,56.000000,31.000000
2007-01-08,24,112.000000,77.000000,26.000000,53.000000,26.000000
2007-01-09,1,73.000000,70.000000,26.000000,47.000000,25.000000
2007-01-09,2,46.000000,68.000000,27.000000,46.000000,22.000000
2007-01-09,3,23.000000,61.000000,15.000000,48.000000,17.000000
2007-01-09,4,14.000000,63.000000,12.000000,44.000000,18.000000
2007-01-09,5,17.000000,61.000000,16.000000,41.000000,18.000000
2007-01-09,6,25.000000,56.000000,23.000000,45.000000,20.000000
2007-01-09,7,70.000000,61.000000,24.000000,43.000000,21.000000
2007-01-09,8,144.000000,63.000000,24.000000,41.000000,18.000000
2007-01-09,9,111.000000,63.000000,24.000000,45.000000,21.000000
2007-01-09,10,47.000000,55.000000,19.000000,38.000000,16.000000
2007-01-09,11,26.000000,47.000000,18.000000,32.000000,12.000000
2007-01-09,12,21.000000,46.000000,17.000000,30.000000,13.000000
2007-01-09,13,17.000000,44.000000,16.000000,28.000000,13.000000
2007-01-09,14,15.000000,43.000000,17.000000,29.000000,12.000000
2007-01-09,15,14.000000,42.000000,15.000000,31.000000,12.000000
2007-01-09,16,14.000000,41.000000,15.000000,31.000000,13.000000
2007-01-09,17,14.000000,43.000000,19.000000,31.000000,12.000000
2007-01-09,18,18.000000,59.000000,21.000000,43.000000,18.000000
2007-01-09,19,62.000000,95.000000,31.000000,61.000000,37.000000
2007-01-09,20,87.000000,98.000000,38.000000,61.000000,41.000000
2007-01-09,21,133.000000,97.000000,39.000000,67.000000,39.000000
2007-01-09,22,101.000000,94.000000,37.000000,69.000000,33.000000
2007-01-09,23,117.000000,75.000000,25.000000,59.000000,16.000000
2007-01-09,24,23.000000,63.000000,24.000000,51.000000,15.000000
2007-01-10,1,33.000000,56.000000,22.000000,40.000000,11.000000
2007-01-10,2,50.000000,56.000000,16.000000,33.000000,9.000000
2007-01-10,3,19.000000,47.000000,16.000000,34.000000,12.000000
2007-01-10,4,14.000000,41.000000,13.000000,32.000000,11.000000
2007-01-10,5,12.000000,38.000000,14.000000,31.000000,12.000000
2007-01-10,6,17.000000,24.000000,21.000000,33.000000,20.000000
2007-01-10,7,67.000000,29.000000,22.000000,41.000000,20.000000
2007-01-10,8,157.000000,24.000000,24.000000,39.000000,20.000000
2007-01-10,9,107.000000,24.000000,24.000000,40.000000,17.000000
2007-01-10,10,58.000000,24.000000,21.000000,34.000000,16.000000
2007-01-10,11,30.000000,23.000000,18.000000,29.000000,14.000000
2007-01-10,12,25.000000,38.000000,17.000000,26.000000,13.000000
2007-01-10,13,22.000000,24.000000,15.000000,26.000000,13.000000
2007-01-10,14,19.000000,23.000000,16.000000,25.000000,15.000000
2007-01-10,15,16.000000,31.000000,14.000000,30.000000,16.000000
2007-01-10,16,15.000000,24.000000,13.000000,30.000000,14.000000
2007-01-10,17,16.000000,24.000000,13.000000,45.000000,18.000000
2007-01-10,18,15.000000,24.000000,13.000000,54.000000,22.000000
2007-01-10,19,30.000000,24.000000,34.000000,73.000000,47.000000
2007-01-10,20,35.000000,25.000000,50.000000,81.000000,73.000000
2007-01-10,21,25.000000,34.000000,45.000000,79.000000,78.000000
2007-01-10,22,17.000000,23.000000,45.000000,72.000000,55.000000
2007-01-10,23,26.000000,27.000000,46.000000,68.000000,50.000000
2007-01-10,24,13.000000,24.000000,47.000000,76.000000,56.000000
2007-01-11,1,11.000000,24.000000,51.000000,76.000000,54.000000
2007-01-11,2,24.000000,24.000000,48.000000,72.000000,50.000000
2007-01-11,3,15.000000,27.000000,29.000000,67.000000,42.000000
2007-01-11,4,23.000000,28.000000,34.000000,63.000000,29.000000
2007-01-11,5,51.000000,24.000000,35.000000,61.000000,28.000000
2007-01-11,6,39.000000,23.000000,31.000000,60.000000,31.000000
2007-01-11,7,27.000000,23.000000,38.000000,59.000000,29.000000
2007-01-11,8,117.000000,31.000000,37.000000,56.000000,28.000000
2007-01-11,9,148.000000,23.000000,30.000000,56.000000,31.000000
2007-01-11,10,179.000000,30.000000,41.000000,70.000000,30.000000
2007-01-11,11,47.000000,25.000000,27.000000,73.000000,27.000000
2007-01-11,12,26.000000,27.000000,27.000000,46.000000,19.000000
2007-01-11,13,17.000000,26.000000,21.000000,60.000000,16.000000
2007-01-11,14,15.000000,24.000000,18.000000,43.000000,16.000000
2007-01-11,15,12.000000,27.000000,14.000000,38.000000,16.000000
2007-01-11,16,12.000000,25.000000,21.000000,45.000000,14.000000
2007-01-11,17,12.000000,24.000000,27.000000,51.000000,17.000000
2007-01-11,18,12.000000,24.000000,38.000000,58.000000,22.000000
2007-01-11,19,13.000000,22.000000,53.000000,57.000000,29.000000
2007-01-11,20,22.000000,24.000000,52.000000,82.000000,56.000000
2007-01-11,21,22.000000,32.000000,49.000000,80.000000,45.000000
2007-01-11,22,30.000000,24.000000,49.000000,68.000000,49.000000
2007-01-11,23,14.000000,24.000000,54.000000,53.000000,47.000000
2007-01-11,24,11.000000,24.000000,42.000000,75.000000,37.000000
2007-01-12,1,11.000000,24.000000,38.000000,65.000000,28.000000
2007-01-12,2,11.000000,24.000000,39.000000,48.000000,30.000000
2007-01-12,3,13.000000,24.000000,37.000000,51.000000,18.000000
2007-01-12,4,30.000000,23.000000,24.000000,57.000000,16.000000
2007-01-12,5,40.000000,24.000000,21.000000,54.000000,26.000000
2007-01-12,6,28.000000,23.000000,20.000000,54.000000,31.000000
2007-01-12,7,42.000000,24.000000,28.000000,51.000000,27.000000
2007-01-12,8,113.000000,24.000000,24.000000,50.000000,25.000000
2007-01-12,9,111.000000,24.000000,30.000000,59.000000,31.000000
2007-01-12,10,78.000000,23.000000,25.000000,65.000000,37.000000
2007-01-12,11,24.000000,25.000000,21.000000,45.000000,38.000000
2007-01-12,12,22.000000,24.000000,14.000000,36.000000,43.000000
2007-01-12,13,17.000000,25.000000,17.000000,42.000000,41.000000
2007-01-12,14,15.000000,23.000000,18.000000,33.000000,43.000000
2007-01-12,15,13.000000,31.000000,10.000000,28.000000,33.000000
2007-01-12,16,11.000000,24.000000,15.000000,37.000000,20.000000
2007-01-12,17,13.000000,23.000000,26.000000,38.000000,15.000000
2007-01-12,18,12.000000,24.000000,29.000000,45.000000,17.000000
2007-01-12,19,13.000000,24.000000,32.000000,48.000000,21.000000
2007-01-12,20,18.000000,33.000000,35.000000,58.000000,33.000000
2007-01-12,21,18.000000,25.000000,33.000000,56.000000,33.000000
2007-01-12,22,15.000000,25.000000,32.000000,46.000000,30.000000
2007-01-12,23,13.000000,24.000000,32.000000,38.000000,27.000000
2007-01-12,24,13.000000,23.000000,31.000000,47.000000,27.000000
