Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,VAL
2008-01-08,05,,,,37.000000,,,
2008-01-08,06,,,,36.000000,,,
2008-01-08,07,,,,50.000000,,,
2008-01-08,08,,,,93.000000,,,
2008-01-08,09,,,,113.000000,,,
2008-01-08,10,,,,58.000000,,,
2008-01-08,11,,,,30.000000,,,
2008-01-08,12,,,,15.000000,,,48.000000
2008-01-08,13,,,,10.000000,,,25.000000
2008-01-08,14,,,,10.000000,,,14.000000
2008-01-08,15,,,,11.000000,,,8.000000
2008-01-08,16,,,,11.000000,,,9.000000
2008-01-08,17,,,,16.000000,,,11.000000
2008-01-08,18,,,,49.000000,,,34.000000
2008-01-08,19,,,,52.000000,,,43.000000
2008-01-08,20,,,,54.000000,,,45.000000
2008-01-08,21,,,,52.000000,,,42.000000
2008-01-08,22,,,,54.000000,,,39.000000
2008-01-08,23,,,,39.000000,,,24.000000
2008-01-09,00,,,,32.000000,,,32.000000
2008-01-09,01,,,,27.000000,,,39.000000
2008-01-09,02,,,,30.000000,,,37.000000
2008-01-09,03,,,,27.000000,,,37.000000
2008-01-09,04,,,,30.000000,,,35.000000
2008-01-09,05,,,,28.000000,,,34.000000
2008-01-09,06,,,,41.000000,,,37.000000
2008-01-09,07,,,,41.000000,,,45.000000
2008-01-09,08,,,,76.000000,,,49.000000
2008-01-09,09,,,,52.000000,,,67.000000
2008-01-09,10,,,,35.000000,,,90.000000
2008-01-09,11,,,,26.000000,,,67.000000
2008-01-09,12,,,,11.000000,,,35.000000
2008-01-09,13,,,,12.000000,,,13.000000
2008-01-09,14,,,,12.000000,,,10.000000
2008-01-09,15,,,,11.000000,,,8.000000
2008-01-09,16,,,,11.000000,,,9.000000
2008-01-09,17,,,,16.000000,,,14.000000
2008-01-09,18,,,,28.000000,,,27.000000
2008-01-09,19,,,,33.000000,,,26.000000
2008-01-09,20,,,,33.000000,,,27.000000
2008-01-09,21,,,,35.000000,,,27.000000
2008-01-09,22,,,,37.000000,,,15.000000
2008-01-09,23,,,,34.000000,,,25.000000
2008-01-10,00,,,,27.000000,,,14.000000
2008-01-10,01,,,,22.000000,,,9.000000
2008-01-10,02,,,,21.000000,,,8.000000
2008-01-10,03,,,,16.000000,,,9.000000
2008-01-10,04,,,,21.000000,,,14.000000
2008-01-10,05,,,,25.000000,,,20.000000
2008-01-10,06,,,,38.000000,,,26.000000
2008-01-10,07,,,,44.000000,,,32.000000
2008-01-10,08,,,,52.000000,,,44.000000
2008-01-10,09,,,,68.000000,,,65.000000
2008-01-10,10,,,,49.000000,,,85.000000
2008-01-10,11,,,,17.000000,,,74.000000
2008-01-10,12,,,,24.000000,,,36.000000
2008-01-10,13,,,,23.000000,,,7.000000
2008-01-10,14,,,,16.000000,,,6.000000
2008-01-10,15,,,,10.000000,,,6.000000
2008-01-10,16,,,,13.000000,2.000000,,7.000000
2008-01-10,17,,,,17.000000,3.000000,,10.000000
2008-01-10,18,,,,39.000000,14.000000,,28.000000
2008-01-10,19,,,,64.000000,12.000000,,42.000000
2008-01-10,20,,,,66.000000,12.000000,,41.000000
2008-01-10,21,,,,64.000000,16.000000,,37.000000
2008-01-10,22,,,,55.000000,13.000000,,39.000000
2008-01-10,23,,,,45.000000,11.000000,,38.000000
2008-01-11,00,,,,30.000000,13.000000,,36.000000
2008-01-11,01,,,,23.000000,14.000000,,32.000000
2008-01-11,02,,,,27.000000,14.000000,,27.000000
2008-01-11,03,,,,31.000000,12.000000,,30.000000
2008-01-11,04,,,,30.000000,11.000000,,32.000000
2008-01-11,05,,,,33.000000,12.000000,,35.000000
2008-01-11,06,,,,35.000000,9.000000,,34.000000
2008-01-11,07,,,,51.000000,8.000000,,37.000000
2008-01-11,08,,,,82.000000,10.000000,,51.000000
2008-01-11,09,,,,64.000000,20.000000,,90.000000
2008-01-11,10,,,,45.000000,28.000000,,101.000000
2008-01-11,11,,,,19.000000,17.000000,,24.000000
2008-01-11,12,,,,12.000000,8.000000,,16.000000
2008-01-11,13,,,,10.000000,7.000000,,13.000000
2008-01-11,14,,,,13.000000,3.000000,,9.000000
2008-01-11,15,,,,13.000000,2.000000,,8.000000
2008-01-11,16,,,,16.000000,4.000000,,12.000000
2008-01-11,17,,,,20.000000,4.000000,,16.000000
2008-01-11,18,,,,27.000000,6.000000,,26.000000
2008-01-11,19,,,,28.000000,5.000000,,29.000000
2008-01-11,20,,,,31.000000,5.000000,,32.000000
2008-01-11,21,,,,28.000000,5.000000,,32.000000
2008-01-11,22,,,,31.000000,8.000000,,31.000000
2008-01-11,23,,,,38.000000,11.000000,,26.000000
2008-01-12,00,,,,37.000000,12.000000,,27.000000
2008-01-12,01,,,,35.000000,11.000000,,23.000000
2008-01-12,02,,,,30.000000,8.000000,,29.000000
2008-01-12,03,,,,30.000000,9.000000,,29.000000
2008-01-12,04,,,,34.000000,11.000000,,28.000000
2008-01-12,05,,,,29.000000,10.000000,,28.000000
2008-01-12,06,,,,41.000000,8.000000,,28.000000
2008-01-12,07,,,,40.000000,5.000000,,32.000000
2008-01-12,08,,,,63.000000,8.000000,,40.000000
2008-01-12,09,,,,76.000000,21.000000,,68.000000
2008-01-12,10,,,,74.000000,40.000000,,113.000000
2008-01-12,11,,,,48.000000,34.000000,,64.000000
2008-01-12,12,,,,42.000000,26.000000,,44.000000
2008-01-12,13,,,,37.000000,23.000000,,47.000000
2008-01-12,14,,,,44.000000,19.000000,,34.000000
2008-01-12,15,,,,34.000000,11.000000,,7.000000
2008-01-12,16,,,,34.000000,9.000000,,7.000000
2008-01-12,17,,,,39.000000,9.000000,,9.000000
2008-01-12,18,,,,55.000000,17.000000,,21.000000
2008-01-12,19,,,,61.000000,15.000000,,38.000000
2008-01-12,20,,,,64.000000,12.000000,,41.000000
2008-01-12,21,,,,69.000000,4.000000,,35.000000
2008-01-12,22,,,,54.000000,9.000000,,33.000000
2008-01-12,23,,,,43.000000,10.000000,,44.000000
2008-01-13,00,,,,34.000000,12.000000,,41.000000
2008-01-13,01,,,,33.000000,12.000000,,38.000000
2008-01-13,02,,,,36.000000,12.000000,,37.000000
2008-01-13,03,,,,35.000000,13.000000,,36.000000
2008-01-13,04,,,,40.000000,15.000000,,38.000000
2008-01-13,05,,,,42.000000,13.000000,,40.000000
2008-01-13,06,,,,33.000000,10.000000,,40.000000
2008-01-13,07,,,,38.000000,10.000000,,39.000000
2008-01-13,08,,,,33.000000,15.000000,,43.000000
2008-01-13,09,,,,27.000000,18.000000,,41.000000
2008-01-13,10,,,,20.000000,13.000000,,25.000000
2008-01-13,11,,,,21.000000,9.000000,,17.000000
2008-01-13,12,,,,14.000000,3.000000,,21.000000
2008-01-13,13,,,,17.000000,3.000000,,21.000000
2008-01-13,14,,,,11.000000,2.000000,,17.000000
2008-01-13,15,,,,9.000000,3.000000,,13.000000
2008-01-13,16,,,,14.000000,3.000000,,9.000000
2008-01-13,17,,,,22.000000,5.000000,,9.000000
2008-01-13,18,,,,21.000000,14.000000,,20.000000
2008-01-13,19,,,,26.000000,14.000000,,42.000000
2008-01-13,20,,,,29.000000,12.000000,,42.000000
2008-01-13,21,,,,35.000000,7.000000,,29.000000
2008-01-13,22,,,,32.000000,5.000000,,17.000000
2008-01-13,23,,,,30.000000,2.000000,,10.000000
2008-01-14,00,,,,23.000000,4.000000,,12.000000
2008-01-14,01,,,,22.000000,11.000000,,9.000000
2008-01-14,02,,,,30.000000,9.000000,,6.000000
2008-01-14,03,,,,32.000000,10.000000,,11.000000
2008-01-14,04,,,,24.000000,14.000000,,13.000000
2008-01-14,05,,,,25.000000,13.000000,,26.000000
2008-01-14,06,,,,29.000000,12.000000,,24.000000
2008-01-14,07,,,,57.000000,6.000000,,32.000000
2008-01-14,08,,,,53.000000,9.000000,,43.000000
2008-01-14,09,,,,45.000000,20.000000,,44.000000
2008-01-14,10,,,,19.000000,14.000000,,54.000000
2008-01-14,11,,,,11.000000,8.000000,,49.000000
2008-01-14,12,,,,8.000000,4.000000,,14.000000
2008-01-14,13,,,,7.000000,3.000000,,10.000000
2008-01-14,14,,,,7.000000,3.000000,,7.000000
