Concentraciones horarias para O3 red GDL 2009

Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,TLA,VAL
2009-01-01,1,7.000000,7.000000,,,10.000000,,,21.000000
2009-01-01,2,7.000000,7.000000,,,1.000000,,2.000000,3.000000
2009-01-01,3,7.000000,6.000000,,,2.000000,,1.000000,3.000000
2009-01-01,4,7.000000,6.000000,,,3.000000,,1.000000,2.000000
2009-01-01,5,7.000000,7.000000,,,2.000000,,,3.000000
2009-01-01,6,6.000000,7.000000,,,3.000000,,1.000000,3.000000
2009-01-01,7,6.000000,6.000000,,3.000000,2.000000,1.000000,,3.000000
2009-01-01,8,5.000000,5.000000,,2.000000,2.000000,,,3.000000
2009-01-01,9,6.000000,5.000000,,2.000000,2.000000,5.000000,,3.000000
2009-01-01,10,24.000000,12.000000,,18.000000,5.000000,15.000000,3.000000,17.000000
2009-01-01,11,43.000000,39.000000,32.000000,32.000000,25.000000,29.000000,16.000000,44.000000
2009-01-01,12,57.000000,54.000000,51.000000,53.000000,38.000000,39.000000,28.000000,59.000000
2009-01-01,13,74.000000,63.000000,66.000000,62.000000,49.000000,53.000000,38.000000,70.000000
2009-01-01,14,86.000000,78.000000,81.000000,74.000000,59.000000,60.000000,47.000000,83.000000
2009-01-01,15,93.000000,84.000000,90.000000,65.000000,68.000000,46.000000,52.000000,91.000000
2009-01-01,16,79.000000,69.000000,95.000000,54.000000,76.000000,51.000000,59.000000,77.000000
2009-01-01,17,75.000000,66.000000,80.000000,50.000000,73.000000,64.000000,63.000000,72.000000
2009-01-01,18,57.000000,60.000000,75.000000,76.000000,58.000000,66.000000,45.000000,70.000000
2009-01-01,19,35.000000,31.000000,41.000000,39.000000,28.000000,25.000000,16.000000,41.000000
2009-01-01,20,17.000000,7.000000,2.000000,,5.000000,,,9.000000
2009-01-01,21,11.000000,5.000000,,,3.000000,,,3.000000
2009-01-01,22,19.000000,6.000000,,,3.000000,,,25.000000
2009-01-01,23,32.000000,5.000000,,,11.000000,3.000000,,36.000000
2009-01-01,24,25.000000,5.000000,,,4.000000,4.000000,,30.000000
2009-01-02,1,28.000000,5.000000,,,3.000000,6.000000,,24.000000
2009-01-02,2,25.000000,4.000000,,3.000000,3.000000,5.000000,,8.000000
2009-01-02,3,22.000000,4.000000,,10.000000,2.000000,17.000000,,2.000000
2009-01-02,4,9.000000,4.000000,,23.000000,2.000000,,,6.000000
2009-01-02,5,19.000000,5.000000,,21.000000,2.000000,,,19.000000
2009-01-02,6,5.000000,5.000000,,9.000000,2.000000,,,10.000000
2009-01-02,7,5.000000,5.000000,,2.000000,2.000000,,,2.000000
2009-01-02,8,5.000000,5.000000,,,2.000000,,,2.000000
2009-01-02,9,5.000000,6.000000,,,2.000000,1.000000,,3.000000
2009-01-02,10,6.000000,10.000000,,,10.000000,10.000000,,5.000000
2009-01-02,11,19.000000,26.000000,12.000000,14.000000,19.000000,19.000000,14.000000,17.000000
2009-01-02,12,34.000000,48.000000,42.000000,43.000000,31.000000,34.000000,29.000000,32.000000
2009-01-02,13,47.000000,66.000000,64.000000,67.000000,38.000000,49.000000,35.000000,55.000000
2009-01-02,14,64.000000,62.000000,80.000000,91.000000,54.000000,75.000000,47.000000,65.000000
2009-01-02,15,51.000000,45.000000,46.000000,77.000000,57.000000,52.000000,37.000000,50.000000
2009-01-02,16,54.000000,49.000000,48.000000,59.000000,45.000000,47.000000,31.000000,53.000000
2009-01-02,17,50.000000,47.000000,43.000000,59.000000,42.000000,43.000000,30.000000,48.000000
2009-01-02,18,50.000000,41.000000,31.000000,47.000000,36.000000,38.000000,25.000000,45.000000
2009-01-02,19,25.000000,23.000000,10.000000,23.000000,16.000000,19.000000,9.000000,32.000000
2009-01-02,20,8.000000,6.000000,,,3.000000,,,16.000000
2009-01-02,21,21.000000,9.000000,1.000000,,3.000000,,,27.000000
2009-01-02,22,28.000000,9.000000,3.000000,,5.000000,2.000000,,30.000000
2009-01-02,23,24.000000,8.000000,3.000000,,14.000000,1.000000,,28.000000
2009-01-02,24,27.000000,14.000000,2.000000,,18.000000,3.000000,,30.000000
2009-01-03,1,31.000000,7.000000,2.000000,,20.000000,6.000000,,29.000000
2009-01-03,2,33.000000,14.000000,3.000000,,19.000000,7.000000,,28.000000
2009-01-03,3,26.000000,9.000000,1.000000,3.000000,20.000000,14.000000,,25.000000
2009-01-03,4,20.000000,13.000000,,10.000000,17.000000,2.000000,,10.000000
2009-01-03,5,18.000000,5.000000,,12.000000,16.000000,,,9.000000
2009-01-03,6,7.000000,5.000000,,,10.000000,,,5.000000
2009-01-03,7,5.000000,5.000000,,,2.000000,,,2.000000
2009-01-03,8,5.000000,5.000000,,,2.000000,,,2.000000
2009-01-03,9,5.000000,5.000000,,,3.000000,,,3.000000
2009-01-03,10,13.000000,9.000000,,10.000000,7.000000,5.000000,,8.000000
2009-01-03,11,20.000000,17.000000,8.000000,32.000000,16.000000,12.000000,7.000000,16.000000
2009-01-03,12,31.000000,31.000000,24.000000,39.000000,15.000000,21.000000,11.000000,27.000000
2009-01-03,13,40.000000,39.000000,40.000000,42.000000,30.000000,36.000000,18.000000,39.000000
2009-01-03,14,42.000000,41.000000,50.000000,49.000000,41.000000,45.000000,32.000000,44.000000
2009-01-03,15,46.000000,40.000000,44.000000,68.000000,45.000000,39.000000,37.000000,46.000000
2009-01-03,16,42.000000,38.000000,46.000000,56.000000,36.000000,37.000000,31.000000,53.000000
2009-01-03,17,41.000000,39.000000,40.000000,39.000000,32.000000,36.000000,27.000000,44.000000
2009-01-03,18,43.000000,38.000000,34.000000,27.000000,30.000000,30.000000,19.000000,44.000000
2009-01-03,19,27.000000,20.000000,14.000000,11.000000,12.000000,23.000000,6.000000,34.000000
2009-01-03,20,10.000000,9.000000,1.000000,,4.000000,8.000000,1.000000,15.000000
2009-01-03,21,13.000000,6.000000,,,3.000000,2.000000,,16.000000
2009-01-03,22,16.000000,5.000000,1.000000,,3.000000,,,20.000000
2009-01-03,23,27.000000,5.000000,1.000000,,4.000000,,,29.000000
2009-01-03,24,18.000000,5.000000,,,7.000000,,,19.000000
2009-01-04,1,5.000000,5.000000,,,3.000000,,,19.000000
2009-01-04,2,5.000000,4.000000,,,3.000000,,,17.000000
2009-01-04,3,5.000000,4.000000,,,3.000000,,,3.000000
2009-01-04,4,6.000000,4.000000,,,3.000000,,,2.000000
2009-01-04,5,7.000000,4.000000,,,3.000000,,,2.000000
2009-01-04,6,10.000000,4.000000,,,3.000000,,,2.000000
2009-01-04,7,7.000000,4.000000,,,2.000000,,,2.000000
2009-01-04,8,5.000000,5.000000,,,2.000000,,,1.000000
2009-01-04,9,6.000000,6.000000,,,2.000000,1.000000,,2.000000
2009-01-04,10,15.000000,16.000000,,8.000000,11.000000,10.000000,,10.000000
2009-01-04,11,31.000000,32.000000,19.000000,21.000000,30.000000,22.000000,10.000000,21.000000
2009-01-04,12,44.000000,50.000000,54.000000,37.000000,47.000000,37.000000,28.000000,45.000000
2009-01-04,13,52.000000,61.000000,64.000000,55.000000,53.000000,44.000000,37.000000,68.000000
2009-01-04,14,56.000000,71.000000,73.000000,67.000000,50.000000,57.000000,42.000000,71.000000
2009-01-04,15,59.000000,70.000000,70.000000,67.000000,48.000000,71.000000,44.000000,66.000000
2009-01-04,16,68.000000,70.000000,80.000000,75.000000,57.000000,70.000000,47.000000,70.000000
2009-01-04,17,68.000000,77.000000,71.000000,69.000000,50.000000,71.000000,43.000000,78.000000
2009-01-04,18,56.000000,66.000000,68.000000,58.000000,45.000000,73.000000,38.000000,61.000000
2009-01-04,19,42.000000,34.000000,29.000000,24.000000,27.000000,55.000000,18.000000,49.000000
2009-01-04,20,16.000000,9.000000,,,10.000000,1.000000,1.000000,14.000000
2009-01-04,21,15.000000,7.000000,,,23.000000,,,12.000000
2009-01-04,22,34.000000,7.000000,3.000000,,13.000000,,,24.000000
2009-01-04,23,32.000000,18.000000,21.000000,,6.000000,8.000000,,34.000000
2009-01-04,24,35.000000,22.000000,22.000000,,3.000000,17.000000,1.000000,31.000000
2009-01-05,1,35.000000,18.000000,7.000000,,3.000000,17.000000,1.000000,19.000000
2009-01-05,2,29.000000,11.000000,3.000000,,3.000000,18.000000,1.000000,22.000000
