Fecha,Hora,AGU,ATM,LDO,MIR,OBL,PIN,TLA,VAL
2012-01-03,08,9.000000,32.000000,64.000000,52.000000,69.000000,49.000000,31.000000,12.000000
2012-01-03,09,10.000000,24.000000,61.000000,50.000000,52.000000,62.000000,31.000000,11.000000
2012-01-03,10,12.000000,24.000000,47.000000,39.000000,33.000000,50.000000,39.000000,8.000000
2012-01-03,11,13.000000,22.000000,41.000000,32.000000,16.000000,35.000000,32.000000,8.000000
2012-01-03,12,12.000000,26.000000,40.000000,33.000000,35.000000,47.000000,30.000000,11.000000
2012-01-03,13,10.000000,25.000000,41.000000,38.000000,44.000000,67.000000,37.000000,13.000000
2012-01-03,14,12.000000,25.000000,57.000000,45.000000,42.000000,67.000000,41.000000,9.000000
2012-01-03,15,11.000000,23.000000,52.000000,42.000000,38.000000,64.000000,40.000000,10.000000
2012-01-03,16,9.000000,28.000000,57.000000,40.000000,58.000000,75.000000,37.000000,12.000000
2012-01-03,17,5.000000,33.000000,56.000000,41.000000,78.000000,102.000000,37.000000,12.000000
2012-01-03,18,11.000000,77.000000,132.000000,116.000000,144.000000,207.000000,70.000000,15.000000
2012-01-03,19,24.000000,150.000000,137.000000,188.000000,107.000000,163.000000,135.000000,22.000000
2012-01-03,20,32.000000,140.000000,87.000000,154.000000,189.000000,151.000000,107.000000,38.000000
2012-01-03,21,32.000000,127.000000,65.000000,110.000000,179.000000,202.000000,85.000000,51.000000
2012-01-03,22,30.000000,118.000000,57.000000,149.000000,177.000000,332.000000,85.000000,47.000000
2012-01-03,23,17.000000,108.000000,124.000000,126.000000,152.000000,259.000000,87.000000,40.000000
2012-01-04,00,18.000000,79.000000,92.000000,97.000000,103.000000,216.000000,147.000000,31.000000
2012-01-04,01,15.000000,22.000000,38.000000,87.000000,42.000000,139.000000,63.000000,6.000000
2012-01-04,02,8.000000,24.000000,36.000000,37.000000,48.000000,167.000000,34.000000,8.000000
2012-01-04,03,7.000000,21.000000,33.000000,56.000000,53.000000,207.000000,29.000000,7.000000
2012-01-04,04,9.000000,31.000000,26.000000,56.000000,48.000000,94.000000,31.000000,9.000000
2012-01-04,05,10.000000,39.000000,35.000000,49.000000,55.000000,76.000000,41.000000,11.000000
2012-01-04,06,11.000000,65.000000,31.000000,77.000000,74.000000,84.000000,39.000000,12.000000
2012-01-04,07,15.000000,72.000000,48.000000,102.000000,97.000000,98.000000,64.000000,22.000000
2012-01-04,08,21.000000,77.000000,82.000000,117.000000,99.000000,116.000000,64.000000,29.000000
2012-01-04,09,25.000000,52.000000,97.000000,112.000000,76.000000,74.000000,47.000000,21.000000
2012-01-04,10,21.000000,54.000000,69.000000,108.000000,69.000000,62.000000,50.000000,16.000000
2012-01-04,11,14.000000,,71.000000,78.000000,56.000000,71.000000,40.000000,13.000000
2012-01-04,12,11.000000,47.000000,82.000000,50.000000,70.000000,90.000000,46.000000,9.000000
2012-01-04,13,5.000000,39.000000,54.000000,27.000000,24.000000,53.000000,32.000000,4.000000
2012-01-04,14,7.000000,20.000000,39.000000,13.000000,26.000000,38.000000,21.000000,6.000000
2012-01-04,15,11.000000,24.000000,32.000000,12.000000,14.000000,37.000000,18.000000,8.000000
2012-01-04,16,6.000000,23.000000,19.000000,21.000000,40.000000,33.000000,23.000000,9.000000
2012-01-04,17,6.000000,29.000000,31.000000,28.000000,48.000000,45.000000,32.000000,11.000000
2012-01-04,18,17.000000,52.000000,186.000000,58.000000,121.000000,242.000000,52.000000,17.000000
2012-01-04,19,34.000000,90.000000,201.000000,100.000000,179.000000,616.000000,172.000000,40.000000
2012-01-04,20,26.000000,72.000000,229.000000,318.000000,268.000000,365.000000,231.000000,43.000000
2012-01-04,21,24.000000,80.000000,195.000000,335.000000,266.000000,338.000000,169.000000,28.000000
2012-01-04,22,15.000000,75.000000,144.000000,327.000000,283.000000,493.000000,164.000000,24.000000
2012-01-04,23,10.000000,52.000000,212.000000,153.000000,183.000000,359.000000,183.000000,13.000000
2012-01-05,00,11.000000,51.000000,103.000000,270.000000,92.000000,443.000000,124.000000,18.000000
2012-01-05,01,10.000000,45.000000,110.000000,337.000000,134.000000,345.000000,119.000000,23.000000
2012-01-05,02,8.000000,36.000000,79.000000,207.000000,192.000000,270.000000,88.000000,16.000000
2012-01-05,03,8.000000,32.000000,70.000000,132.000000,131.000000,228.000000,94.000000,16.000000
2012-01-05,04,14.000000,38.000000,61.000000,141.000000,108.000000,272.000000,84.000000,21.000000
2012-01-05,05,16.000000,43.000000,51.000000,95.000000,120.000000,204.000000,78.000000,36.000000
2012-01-05,06,14.000000,61.000000,82.000000,152.000000,122.000000,304.000000,113.000000,38.000000
2012-01-05,07,15.000000,103.000000,67.000000,232.000000,160.000000,235.000000,119.000000,38.000000
2012-01-05,08,24.000000,142.000000,178.000000,288.000000,152.000000,238.000000,176.000000,58.000000
2012-01-05,09,27.000000,100.000000,124.000000,122.000000,133.000000,187.000000,90.000000,38.000000
2012-01-05,10,25.000000,69.000000,101.000000,54.000000,78.000000,183.000000,86.000000,20.000000
2012-01-05,11,19.000000,42.000000,77.000000,108.000000,246.000000,76.000000,79.000000,18.000000
2012-01-05,12,19.000000,47.000000,75.000000,69.000000,84.000000,88.000000,77.000000,18.000000
2012-01-05,13,16.000000,37.000000,63.000000,32.000000,41.000000,39.000000,48.000000,12.000000
2012-01-05,14,15.000000,35.000000,89.000000,43.000000,80.000000,50.000000,66.000000,20.000000
2012-01-05,15,11.000000,61.000000,87.000000,36.000000,108.000000,49.000000,64.000000,21.000000
2012-01-05,16,13.000000,45.000000,90.000000,25.000000,103.000000,56.000000,51.000000,10.000000
2012-01-05,17,5.000000,48.000000,90.000000,35.000000,163.000000,73.000000,50.000000,13.000000
2012-01-05,18,12.000000,74.000000,108.000000,46.000000,160.000000,112.000000,62.000000,23.000000
2012-01-05,19,23.000000,97.000000,109.000000,71.000000,136.000000,185.000000,70.000000,23.000000
2012-01-05,20,16.000000,60.000000,98.000000,70.000000,81.000000,248.000000,57.000000,13.000000
2012-01-05,21,15.000000,46.000000,141.000000,40.000000,71.000000,182.000000,65.000000,12.000000
2012-01-05,22,9.000000,34.000000,134.000000,44.000000,79.000000,96.000000,57.000000,11.000000
2012-01-05,23,9.000000,43.000000,94.000000,19.000000,80.000000,84.000000,43.000000,12.000000
2012-01-06,00,8.000000,38.000000,80.000000,16.000000,58.000000,77.000000,47.000000,13.000000
2012-01-06,01,6.000000,26.000000,59.000000,19.000000,61.000000,65.000000,59.000000,12.000000
2012-01-06,02,5.000000,28.000000,43.000000,42.000000,73.000000,72.000000,46.000000,7.000000
2012-01-06,03,7.000000,29.000000,48.000000,36.000000,80.000000,59.000000,46.000000,9.000000
2012-01-06,04,7.000000,29.000000,53.000000,82.000000,88.000000,85.000000,59.000000,10.000000
2012-01-06,05,7.000000,47.000000,59.000000,93.000000,77.000000,126.000000,67.000000,9.000000
2012-01-06,06,12.000000,53.000000,61.000000,58.000000,83.000000,71.000000,70.000000,16.000000
2012-01-06,07,16.000000,76.000000,72.000000,75.000000,95.000000,104.000000,63.000000,19.000000
2012-01-06,08,26.000000,89.000000,86.000000,80.000000,112.000000,99.000000,66.000000,20.000000
2012-01-06,09,24.000000,74.000000,74.000000,61.000000,103.000000,95.000000,69.000000,24.000000
2012-01-06,10,26.000000,90.000000,64.000000,65.000000,103.000000,119.000000,63.000000,36.000000
2012-01-06,11,24.000000,55.000000,71.000000,50.000000,86.000000,96.000000,46.000000,33.000000
2012-01-06,12,18.000000,50.000000,63.000000,31.000000,52.000000,48.000000,27.000000,14.000000
2012-01-06,13,11.000000,38.000000,42.000000,28.000000,29.000000,41.000000,35.000000,9.000000
2012-01-06,14,7.000000,36.000000,68.000000,28.000000,51.000000,64.000000,36.000000,7.000000
2012-01-06,15,6.000000,40.000000,53.000000,29.000000,63.000000,35.000000,42.000000,14.000000
2012-01-06,16,9.000000,42.000000,71.000000,40.000000,56.000000,51.000000,44.000000,11.000000
2012-01-06,17,6.000000,44.000000,76.000000,30.000000,72.000000,58.000000,38.000000,13.000000
2012-01-06,18,11.000000,70.000000,163.000000,54.000000,109.000000,169.000000,69.000000,17.000000
2012-01-06,19,26.000000,106.000000,171.000000,84.000000,142.000000,235.000000,94.000000,25.000000
2012-01-06,20,23.000000,118.000000,148.000000,80.000000,159.000000,363.000000,102.000000,16.000000
2012-01-06,21,19.000000,121.000000,134.000000,216.000000,127.000000,426.000000,108.000000,16.000000
2012-01-06,22,21.000000,94.000000,243.000000,342.000000,178.000000,357.000000,187.000000,25.000000
2012-01-06,23,16.000000,76.000000,133.000000,214.000000,195.000000,561.000000,189.000000,27.000000
2012-01-07,00,13.000000,48.000000,151.000000,331.000000,303.000000,514.000000,187.000000,18.000000
2012-01-07,01,11.000000,46.000000,91.000000,344.000000,226.000000,440.000000,111.000000,14.000000
2012-01-07,02,10.000000,47.000000,69.000000,249.000000,113.000000,344.000000,156.000000,17.000000
2012-01-07,03,10.000000,41.000000,63.000000,170.000000,89.000000,354.000000,132.000000,12.000000
2012-01-07,04,9.000000,37.000000,83.000000,230.000000,87.000000,279.000000,115.000000,14.000000
2012-01-07,05,10.000000,45.000000,84.000000,186.000000,78.000000,261.000000,113.000000,19.000000
2012-01-07,06,11.000000,48.000000,92.000000,127.000000,90.000000,300.000000,73.000000,23.000000
2012-01-07,07,17.000000,67.000000,88.000000,206.000000,113.000000,338.000000,134.000000,25.000000
2012-01-07,08,26.000000,107.000000,138.000000,312.000000,114.000000,285.000000,205.000000,31.000000
2012-01-07,09,30.000000,140.000000,219.000000,207.000000,140.000000,409.000000,109.000000,33.000000
2012-01-07,10,27.000000,88.000000,209.000000,216.000000,129.000000,276.000000,105.000000,24.000000
2012-01-07,11,19.000000,86.000000,96.000000,80.000000,82.000000,156.000000,94.000000,23.000000
2012-01-07,12,16.000000,52.000000,99.000000,57.000000,72.000000,74.000000,74.000000,14.000000
2012-01-07,13,14.000000,55.000000,92.000000,64.000000,91.000000,83.000000,72.000000,23.000000
2012-01-07,14,16.000000,83.000000,74.000000,55.000000,77.000000,79.000000,75.000000,22.000000
2012-01-07,15,15.000000,53.000000,74.000000,53.000000,106.000000,68.000000,72.000000,21.000000
2012-01-07,16,15.000000,54.000000,79.000000,62.000000,108.000000,65.000000,58.000000,19.000000
2012-01-07,17,14.000000,63.000000,71.000000,58.000000,92.000000,70.000000,55.000000,20.000000
2012-01-07,18,19.000000,96.000000,96.000000,78.000000,133.000000,183.000000,83.000000,21.000000
2012-01-07,19,25.000000,101.000000,174.000000,85.000000,166.000000,206.000000,84.000000,27.000000
2012-01-07,20,29.000000,124.000000,211.000000,157.000000,158.000000,330.000000,151.000000,26.000000
2012-01-07,21,18.000000,95.000000,233.000000,54.000000,190.000000,176.000000,153.000000,25.000000
2012-01-07,22,14.000000,97.000000,137.000000,113.000000,208.000000,190.000000,83.000000,15.000000
2012-01-07,23,13.000000,90.000000,95.000000,120.000000,223.000000,147.000000,96.000000,17.000000
2012-01-08,00,15.000000,67.000000,82.000000,84.000000,180.000000,168.000000,63.000000,20.000000
2012-01-08,01,14.000000,54.000000,72.000000,48.000000,95.000000,89.000000,57.000000,16.000000
2012-01-08,02,16.000000,36.000000,72.000000,53.000000,80.000000,177.000000,63.000000,15.000000
2012-01-08,03,16.000000,35.000000,83.000000,67.000000,53.000000,164.000000,68.000000,12.000000
2012-01-08,04,17.000000,36.000000,76.000000,64.000000,85.000000,191.000000,80.000000,18.000000
2012-01-08,05,17.000000,40.000000,43.000000,81.000000,113.000000,172.000000,70.000000,21.000000
2012-01-08,06,16.000000,50.000000,60.000000,89.000000,92.000000,190.000000,83.000000,25.000000
2012-01-08,07,17.000000,66.000000,82.000000,82.000000,87.000000,196.000000,86.000000,22.000000
2012-01-08,08,18.000000,79.000000,118.000000,95.000000,75.000000,291.000000,75.000000,21.000000
2012-01-08,09,16.000000,84.000000,125.000000,82.000000,93.000000,161.000000,69.000000,16.000000
2012-01-08,10,17.000000,71.000000,141.000000,64.000000,92.000000,68.000000,65.000000,16.000000
2012-01-08,11,13.000000,50.000000,87.000000,23.000000,76.000000,26.000000,46.000000,13.000000
2012-01-08,12,8.000000,40.000000,106.000000,37.000000,31.000000,29.000000,29.000000,12.000000
2012-01-08,13,8.000000,43.000000,93.000000,35.000000,64.000000,20.000000,40.000000,6.000000
2012-01-08,14,5.000000,28.000000,80.000000,13.000000,34.000000,15.000000,35.000000,7.000000
2012-01-08,15,7.000000,30.000000,49.000000,22.000000,52.000000,80.000000,24.000000,9.000000
2012-01-08,16,16.000000,46.000000,54.000000,30.000000,50.000000,39.000000,40.000000,19.000000
2012-01-08,17,20.000000,104.000000,90.000000,61.000000,150.000000,110.000000,62.000000,38.000000
