Concentraciones horarias para O3 red GDL 2010

Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,TLA,VAL
2010-01-01,1,4.000000,6.000000,6.000000,,,11.000000,6.000000,1.000000
2010-01-01,2,5.000000,7.000000,6.000000,1.000000,,11.000000,6.000000,1.000000
2010-01-01,3,5.000000,6.000000,8.000000,,,11.000000,6.000000,1.000000
2010-01-01,4,5.000000,6.000000,6.000000,1.000000,,11.000000,6.000000,1.000000
2010-01-01,5,5.000000,6.000000,7.000000,1.000000,,9.000000,6.000000,1.000000
2010-01-01,6,5.000000,7.000000,6.000000,,,10.000000,5.000000,1.000000
2010-01-01,7,4.000000,6.000000,5.000000,1.000000,,11.000000,5.000000,1.000000
2010-01-01,8,3.000000,6.000000,3.000000,,,9.000000,5.000000,1.000000
2010-01-01,9,4.000000,5.000000,3.000000,1.000000,,11.000000,5.000000,3.000000
2010-01-01,10,10.000000,8.000000,12.000000,10.000000,3.000000,19.000000,9.000000,14.000000
2010-01-01,11,30.000000,32.000000,31.000000,20.000000,7.000000,29.000000,19.000000,33.000000
2010-01-01,12,43.000000,43.000000,46.000000,28.000000,9.000000,38.000000,32.000000,43.000000
2010-01-01,13,52.000000,53.000000,54.000000,33.000000,17.000000,43.000000,42.000000,52.000000
2010-01-01,14,55.000000,56.000000,56.000000,36.000000,20.000000,45.000000,50.000000,55.000000
2010-01-01,15,52.000000,56.000000,55.000000,37.000000,20.000000,46.000000,53.000000,54.000000
2010-01-01,16,48.000000,60.000000,53.000000,38.000000,22.000000,44.000000,54.000000,53.000000
2010-01-01,17,51.000000,57.000000,48.000000,39.000000,15.000000,45.000000,51.000000,53.000000
2010-01-01,18,49.000000,41.000000,29.000000,34.000000,,29.000000,38.000000,44.000000
2010-01-01,19,20.000000,26.000000,10.000000,16.000000,,18.000000,21.000000,21.000000
2010-01-01,20,6.000000,4.000000,4.000000,10.000000,,10.000000,10.000000,2.000000
2010-01-01,21,3.000000,4.000000,4.000000,10.000000,,9.000000,13.000000,
