Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,TLA,VAL
2009-01-01,00,38.000000,104.000000,146.000000,198.000000,68.000000,224.000000,252.000000,27.000000
2009-01-01,01,75.000000,92.000000,169.000000,207.000000,166.000000,283.000000,264.000000,44.000000
2009-01-01,02,98.000000,59.000000,194.000000,203.000000,321.000000,275.000000,218.000000,47.000000
2009-01-01,03,78.000000,50.000000,155.000000,162.000000,284.000000,293.000000,135.000000,54.000000
2009-01-01,04,51.000000,66.000000,111.000000,90.000000,232.000000,193.000000,116.000000,57.000000
2009-01-01,05,48.000000,84.000000,112.000000,119.000000,188.000000,146.000000,195.000000,56.000000
2009-01-01,06,37.000000,72.000000,59.000000,72.000000,201.000000,87.000000,137.000000,76.000000
2009-01-01,07,43.000000,55.000000,50.000000,65.000000,112.000000,99.000000,113.000000,73.000000
2009-01-01,08,20.000000,58.000000,58.000000,91.000000,98.000000,88.000000,128.000000,61.000000
2009-01-01,09,23.000000,41.000000,47.000000,62.000000,165.000000,70.000000,67.000000,33.000000
2009-01-01,10,38.000000,27.000000,21.000000,61.000000,51.000000,59.000000,41.000000,31.000000
2009-01-01,11,28.000000,21.000000,28.000000,57.000000,43.000000,56.000000,41.000000,14.000000
2009-01-01,12,27.000000,10.000000,40.000000,47.000000,29.000000,57.000000,30.000000,11.000000
2009-01-01,13,18.000000,11.000000,21.000000,57.000000,21.000000,40.000000,23.000000,10.000000
2009-01-01,14,17.000000,16.000000,18.000000,53.000000,20.000000,42.000000,28.000000,15.000000
2009-01-01,15,18.000000,19.000000,20.000000,47.000000,30.000000,49.000000,29.000000,12.000000
2009-01-01,16,14.000000,19.000000,17.000000,53.000000,31.000000,55.000000,34.000000,12.000000
2009-01-01,17,10.000000,21.000000,28.000000,67.000000,28.000000,68.000000,35.000000,15.000000
2009-01-01,18,37.000000,19.000000,21.000000,111.000000,51.000000,124.000000,43.000000,10.000000
