Fecha,Hora,AGU,CEN,LDO,MIR,OBL,VAL
2009-01-04,07,28.000000,27.000000,56.000000,17.000000,,37.000000
2009-01-04,08,26.000000,32.000000,48.000000,21.000000,,45.000000
2009-01-04,09,26.000000,52.000000,41.000000,22.000000,,46.000000
2009-01-04,10,23.000000,51.000000,35.000000,16.000000,,45.000000
2009-01-04,11,30.000000,16.000000,29.000000,9.000000,,41.000000
2009-01-04,12,18.000000,15.000000,24.000000,8.000000,,38.000000
2009-01-04,13,14.000000,13.000000,20.000000,9.000000,,27.000000
2009-01-04,14,16.000000,15.000000,20.000000,15.000000,,23.000000
2009-01-04,15,12.000000,16.000000,23.000000,7.000000,,24.000000
2009-01-04,16,9.000000,13.000000,23.000000,5.000000,,23.000000
2009-01-04,17,8.000000,17.000000,24.000000,7.000000,,21.000000
2009-01-04,18,18.000000,31.000000,54.000000,22.000000,,23.000000
2009-01-04,19,34.000000,46.000000,63.000000,30.000000,,41.000000
2009-01-04,20,31.000000,43.000000,68.000000,14.000000,,40.000000
2009-01-04,21,10.000000,31.000000,57.000000,21.000000,,28.000000
2009-01-04,22,11.000000,17.000000,50.000000,23.000000,,20.000000
2009-01-04,23,9.000000,16.000000,50.000000,24.000000,,20.000000
2009-01-05,00,10.000000,27.000000,48.000000,22.000000,,27.000000
2009-01-05,01,13.000000,33.000000,40.000000,22.000000,,24.000000
2009-01-05,02,24.000000,32.000000,36.000000,20.000000,,23.000000
2009-01-05,03,27.000000,29.000000,34.000000,21.000000,,23.000000
2009-01-05,04,18.000000,29.000000,32.000000,21.000000,,30.000000
2009-01-05,05,23.000000,31.000000,39.000000,19.000000,,30.000000
2009-01-05,06,24.000000,32.000000,43.000000,21.000000,,35.000000
2009-01-05,07,22.000000,34.000000,51.000000,18.000000,,36.000000
2009-01-05,08,26.000000,38.000000,67.000000,24.000000,,42.000000
2009-01-05,09,35.000000,43.000000,75.000000,32.000000,,59.000000
2009-01-05,10,32.000000,59.000000,51.000000,28.000000,,51.000000
2009-01-05,11,23.000000,33.000000,39.000000,13.000000,,43.000000
2009-01-05,12,21.000000,24.000000,30.000000,10.000000,,36.000000
2009-01-05,13,17.000000,15.000000,25.000000,7.000000,,26.000000
2009-01-05,14,10.000000,15.000000,22.000000,7.000000,,23.000000
2009-01-05,15,12.000000,14.000000,22.000000,6.000000,,22.000000
2009-01-05,16,11.000000,16.000000,22.000000,8.000000,,23.000000
2009-01-05,17,10.000000,22.000000,26.000000,11.000000,,26.000000
2009-01-05,18,17.000000,31.000000,38.000000,13.000000,,34.000000
2009-01-05,19,18.000000,37.000000,41.000000,14.000000,,36.000000
2009-01-05,20,35.000000,39.000000,41.000000,12.000000,,39.000000
2009-01-05,21,34.000000,39.000000,39.000000,10.000000,,36.000000
2009-01-05,22,18.000000,34.000000,43.000000,11.000000,,36.000000
2009-01-05,23,14.000000,25.000000,44.000000,17.000000,,29.000000
2009-01-06,00,10.000000,25.000000,50.000000,25.000000,,21.000000
2009-01-06,01,10.000000,27.000000,45.000000,24.000000,,23.000000
2009-01-06,02,11.000000,29.000000,43.000000,22.000000,,22.000000
2009-01-06,03,10.000000,28.000000,34.000000,22.000000,,26.000000
2009-01-06,04,21.000000,28.000000,27.000000,19.000000,,31.000000
