Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,TLA,VAL
2007-01-01,00,11.000000,6.000000,12.000000,,1.000000,8.000000,10.000000,2.000000
2007-01-01,01,12.000000,6.000000,12.000000,,,8.000000,14.000000,2.000000
2007-01-01,02,13.000000,6.000000,12.000000,,,8.000000,15.000000,2.000000
2007-01-01,03,13.000000,6.000000,13.000000,,,8.000000,15.000000,2.000000
2007-01-01,04,10.000000,5.000000,13.000000,,,8.000000,15.000000,2.000000
2007-01-01,05,10.000000,6.000000,13.000000,,,8.000000,13.000000,2.000000
2007-01-01,06,10.000000,6.000000,13.000000,,,8.000000,12.000000,2.000000
2007-01-01,07,10.000000,6.000000,13.000000,,,8.000000,13.000000,3.000000
2007-01-01,08,12.000000,6.000000,12.000000,2.000000,,8.000000,10.000000,4.000000
2007-01-01,09,20.000000,5.000000,12.000000,8.000000,,11.000000,10.000000,6.000000
2007-01-01,10,29.000000,6.000000,17.000000,15.000000,6.000000,22.000000,20.000000,20.000000
2007-01-01,11,36.000000,21.000000,25.000000,20.000000,17.000000,27.000000,29.000000,26.000000
2007-01-01,12,40.000000,31.000000,33.000000,24.000000,27.000000,32.000000,32.000000,29.000000
2007-01-01,13,42.000000,35.000000,36.000000,25.000000,29.000000,33.000000,37.000000,31.000000
2007-01-01,14,34.000000,36.000000,41.000000,27.000000,27.000000,38.000000,39.000000,32.000000
2007-01-01,15,28.000000,39.000000,38.000000,30.000000,32.000000,42.000000,39.000000,28.000000
2007-01-01,16,21.000000,32.000000,32.000000,32.000000,24.000000,31.000000,34.000000,22.000000
2007-01-01,17,19.000000,28.000000,27.000000,20.000000,11.000000,25.000000,24.000000,16.000000
2007-01-01,18,10.000000,21.000000,14.000000,6.000000,4.000000,14.000000,10.000000,7.000000
2007-01-01,19,11.000000,10.000000,11.000000,,,8.000000,7.000000,3.000000
2007-01-01,20,13.000000,5.000000,10.000000,,6.000000,8.000000,7.000000,4.000000
2007-01-01,21,9.000000,5.000000,10.000000,,5.000000,8.000000,7.000000,5.000000
2007-01-01,22,13.000000,5.000000,10.000000,,9.000000,7.000000,8.000000,8.000000
2007-01-01,23,10.000000,5.000000,10.000000,,7.000000,8.000000,8.000000,9.000000
2007-01-02,00,12.000000,5.000000,10.000000,,3.000000,8.000000,8.000000,7.000000
2007-01-02,01,8.000000,5.000000,11.000000,,,8.000000,7.000000,6.000000
2007-01-02,02,7.000000,5.000000,10.000000,1.000000,1.000000,7.000000,7.000000,6.000000
2007-01-02,03,6.000000,5.000000,10.000000,5.000000,,7.000000,7.000000,5.000000
2007-01-02,04,6.000000,5.000000,10.000000,1.000000,1.000000,7.000000,8.000000,7.000000
2007-01-02,05,5.000000,5.000000,10.000000,,,7.000000,8.000000,7.000000
2007-01-02,06,5.000000,5.000000,10.000000,,,7.000000,8.000000,5.000000
2007-01-02,07,5.000000,5.000000,10.000000,,,7.000000,8.000000,3.000000
2007-01-02,08,5.000000,5.000000,10.000000,,,7.000000,8.000000,2.000000
2007-01-02,09,6.000000,5.000000,10.000000,1.000000,3.000000,7.000000,9.000000,2.000000
2007-01-02,10,11.000000,7.000000,13.000000,10.000000,11.000000,8.000000,17.000000,3.000000
2007-01-02,11,20.000000,,32.000000,16.000000,22.000000,26.000000,28.000000,19.000000
2007-01-02,12,22.000000,25.000000,42.000000,27.000000,30.000000,41.000000,40.000000,25.000000
2007-01-02,13,22.000000,41.000000,39.000000,31.000000,37.000000,43.000000,37.000000,19.000000
2007-01-02,14,25.000000,35.000000,37.000000,34.000000,31.000000,41.000000,34.000000,19.000000
2007-01-02,15,23.000000,35.000000,29.000000,26.000000,24.000000,30.000000,25.000000,16.000000
2007-01-02,16,19.000000,25.000000,23.000000,18.000000,14.000000,28.000000,23.000000,14.000000
2007-01-02,17,12.000000,23.000000,20.000000,18.000000,11.000000,20.000000,22.000000,13.000000
2007-01-02,18,8.000000,21.000000,12.000000,10.000000,6.000000,11.000000,11.000000,6.000000
2007-01-02,19,9.000000,9.000000,11.000000,4.000000,4.000000,8.000000,8.000000,4.000000
2007-01-02,20,11.000000,5.000000,11.000000,2.000000,4.000000,8.000000,7.000000,5.000000
2007-01-02,21,13.000000,4.000000,10.000000,,2.000000,7.000000,7.000000,7.000000
2007-01-02,22,9.000000,4.000000,11.000000,5.000000,,8.000000,10.000000,3.000000
2007-01-02,23,14.000000,4.000000,11.000000,5.000000,,8.000000,25.000000,2.000000
2007-01-03,00,18.000000,5.000000,11.000000,,,11.000000,26.000000,2.000000
2007-01-03,01,8.000000,5.000000,11.000000,4.000000,3.000000,14.000000,18.000000,2.000000
2007-01-03,02,12.000000,5.000000,13.000000,9.000000,6.000000,19.000000,27.000000,5.000000
2007-01-03,03,12.000000,5.000000,12.000000,10.000000,9.000000,21.000000,21.000000,14.000000
2007-01-03,04,12.000000,5.000000,11.000000,17.000000,5.000000,11.000000,8.000000,13.000000
2007-01-03,05,15.000000,5.000000,11.000000,10.000000,8.000000,10.000000,7.000000,10.000000
2007-01-03,06,13.000000,5.000000,11.000000,,,9.000000,7.000000,8.000000
2007-01-03,07,7.000000,5.000000,11.000000,,,8.000000,8.000000,3.000000
2007-01-03,08,7.000000,5.000000,11.000000,,,8.000000,7.000000,3.000000
2007-01-03,09,10.000000,5.000000,10.000000,3.000000,13.000000,8.000000,8.000000,4.000000
2007-01-03,10,11.000000,5.000000,14.000000,14.000000,18.000000,11.000000,17.000000,6.000000
2007-01-03,11,15.000000,7.000000,21.000000,17.000000,18.000000,23.000000,24.000000,8.000000
2007-01-03,12,19.000000,18.000000,23.000000,19.000000,19.000000,26.000000,27.000000,13.000000
2007-01-03,13,23.000000,23.000000,27.000000,20.000000,25.000000,27.000000,27.000000,14.000000
2007-01-03,14,23.000000,24.000000,27.000000,21.000000,22.000000,28.000000,25.000000,14.000000
2007-01-03,15,19.000000,24.000000,25.000000,16.000000,21.000000,27.000000,22.000000,14.000000
2007-01-03,16,20.000000,24.000000,23.000000,16.000000,21.000000,25.000000,20.000000,14.000000
2007-01-03,17,18.000000,24.000000,21.000000,13.000000,17.000000,23.000000,18.000000,12.000000
2007-01-03,18,15.000000,22.000000,16.000000,4.000000,13.000000,17.000000,15.000000,10.000000
2007-01-03,19,12.000000,14.000000,12.000000,,11.000000,9.000000,11.000000,6.000000
2007-01-03,20,16.000000,9.000000,12.000000,,10.000000,9.000000,11.000000,6.000000
2007-01-03,21,9.000000,8.000000,12.000000,,10.000000,10.000000,10.000000,4.000000
2007-01-03,22,12.000000,8.000000,13.000000,,14.000000,10.000000,10.000000,5.000000
2007-01-03,23,14.000000,9.000000,13.000000,,11.000000,10.000000,11.000000,7.000000
2007-01-04,00,14.000000,8.000000,13.000000,,11.000000,10.000000,8.000000,11.000000
2007-01-04,01,13.000000,8.000000,13.000000,,7.000000,10.000000,8.000000,12.000000
2007-01-04,02,12.000000,9.000000,13.000000,,10.000000,14.000000,12.000000,11.000000
2007-01-04,03,10.000000,18.000000,18.000000,,16.000000,16.000000,12.000000,12.000000
2007-01-04,04,12.000000,17.000000,18.000000,1.000000,16.000000,17.000000,16.000000,11.000000
2007-01-04,05,12.000000,12.000000,12.000000,,15.000000,18.000000,13.000000,10.000000
2007-01-04,06,8.000000,12.000000,11.000000,,14.000000,18.000000,9.000000,9.000000
2007-01-04,07,6.000000,7.000000,11.000000,,9.000000,11.000000,8.000000,7.000000
2007-01-04,08,7.000000,6.000000,11.000000,,1.000000,8.000000,8.000000,6.000000
2007-01-04,09,9.000000,6.000000,10.000000,,3.000000,8.000000,8.000000,4.000000
2007-01-04,10,12.000000,6.000000,11.000000,,7.000000,9.000000,10.000000,5.000000
2007-01-04,11,12.000000,7.000000,11.000000,2.000000,10.000000,15.000000,25.000000,7.000000
2007-01-04,12,21.000000,19.000000,13.000000,10.000000,16.000000,20.000000,27.000000,14.000000
2007-01-04,13,23.000000,27.000000,27.000000,22.000000,23.000000,30.000000,30.000000,19.000000
2007-01-04,14,27.000000,31.000000,31.000000,29.000000,27.000000,33.000000,34.000000,21.000000
2007-01-04,15,27.000000,32.000000,36.000000,27.000000,31.000000,38.000000,37.000000,22.000000
2007-01-04,16,28.000000,34.000000,37.000000,30.000000,32.000000,38.000000,36.000000,22.000000
2007-01-04,17,26.000000,36.000000,37.000000,31.000000,34.000000,37.000000,32.000000,20.000000
2007-01-04,18,12.000000,30.000000,33.000000,29.000000,30.000000,36.000000,13.000000,14.000000
2007-01-04,19,6.000000,10.000000,19.000000,12.000000,10.000000,23.000000,8.000000,2.000000
